p,m,q,n,trials,trial,flops,GF/s,tmult,tcomm
1,256,256,256,10,0,33554432.00,0.32,106.249,0.405
1,256,256,256,10,1,33554432.00,0.29,115.146,0.325
1,256,256,256,10,2,33554432.00,0.26,131.258,0.518
1,256,256,256,10,3,33554432.00,0.33,100.887,0.340
1,256,256,256,10,4,33554432.00,0.37,90.115,0.393
1,256,256,256,10,5,33554432.00,0.44,75.621,0.283
1,256,256,256,10,6,33554432.00,0.34,98.822,0.225
1,256,256,256,10,7,33554432.00,0.40,83.810,0.301
1,256,256,256,10,8,33554432.00,0.37,90.034,0.494
1,256,256,256,10,9,33554432.00,0.37,89.806,0.246
1,1024,1024,1024,10,0,2147483648.00,0.36,5981.549,7.817
1,1024,1024,1024,10,1,2147483648.00,0.37,5774.024,10.419
1,1024,1024,1024,10,2,2147483648.00,0.36,6001.728,8.208
1,1024,1024,1024,10,3,2147483648.00,0.37,5817.404,10.214
1,1024,1024,1024,10,4,2147483648.00,0.37,5836.459,7.236
1,1024,1024,1024,10,5,2147483648.00,0.36,5922.671,7.991
1,1024,1024,1024,10,6,2147483648.00,0.37,5850.658,5.218
1,1024,1024,1024,10,7,2147483648.00,0.37,5799.640,8.412
1,1024,1024,1024,10,8,2147483648.00,0.37,5751.821,6.655
1,1024,1024,1024,10,9,2147483648.00,0.37,5844.662,7.124
1,4096,4096,4096,10,0,137438953472.00,0.36,377035.000,148.132
1,4096,4096,4096,10,1,137438953472.00,0.37,374718.657,183.983
1,4096,4096,4096,10,2,137438953472.00,0.37,375736.330,124.292
1,4096,4096,4096,10,3,137438953472.00,0.36,378649.246,134.317
1,4096,4096,4096,10,4,137438953472.00,0.36,377762.158,157.885
1,4096,4096,4096,10,5,137438953472.00,0.36,378783.497,150.312
1,4096,4096,4096,10,6,137438953472.00,0.37,376014.650,139.542
1,4096,4096,4096,10,7,137438953472.00,0.37,375796.225,161.503
1,4096,4096,4096,10,8,137438953472.00,0.36,376946.962,129.058
1,4096,4096,4096,10,9,137438953472.00,0.36,379357.053,111.151
4,256,256,256,10,0,33554432.00,1.06,31.684,9.940
4,256,256,256,10,1,33554432.00,1.46,22.933,5.452
4,256,256,256,10,2,33554432.00,1.06,31.698,13.602
4,256,256,256,10,3,33554432.00,0.85,39.543,21.633
4,256,256,256,10,4,33554432.00,0.94,35.584,16.736
4,256,256,256,10,5,33554432.00,1.28,26.168,8.520
4,256,256,256,10,6,33554432.00,1.71,19.603,1.512
4,256,256,256,10,7,33554432.00,1.72,19.549,1.518
4,256,256,256,10,8,33554432.00,1.71,19.650,1.631
4,256,256,256,10,9,33554432.00,1.05,31.857,13.587
4,1024,1024,1024,10,0,2147483648.00,1.60,1343.469,112.698
4,1024,1024,1024,10,1,2147483648.00,1.57,1364.007,130.955
4,1024,1024,1024,10,2,2147483648.00,1.58,1358.649,116.582
4,1024,1024,1024,10,3,2147483648.00,1.44,1486.662,263.149
4,1024,1024,1024,10,4,2147483648.00,1.55,1381.207,103.915
4,1024,1024,1024,10,5,2147483648.00,1.62,1324.815,54.730
4,1024,1024,1024,10,6,2147483648.00,1.62,1325.605,71.592
4,1024,1024,1024,10,7,2147483648.00,1.63,1315.113,72.397
4,1024,1024,1024,10,8,2147483648.00,1.59,1348.567,94.315
4,1024,1024,1024,10,9,2147483648.00,1.58,1362.040,91.046
4,4096,4096,4096,10,0,137438953472.00,1.64,83759.239,1834.248
4,4096,4096,4096,10,1,137438953472.00,1.64,83830.838,1606.446
4,4096,4096,4096,10,2,137438953472.00,1.64,84048.980,1717.299
4,4096,4096,4096,10,3,137438953472.00,1.65,83493.949,1651.913
4,4096,4096,4096,10,4,137438953472.00,1.64,83659.533,1546.472
4,4096,4096,4096,10,5,137438953472.00,1.65,83426.843,1171.631
4,4096,4096,4096,10,6,137438953472.00,1.63,84391.334,1528.127
4,4096,4096,4096,10,7,137438953472.00,1.63,84153.913,2009.406
4,4096,4096,4096,10,8,137438953472.00,1.61,85548.498,2196.169
4,4096,4096,4096,10,9,137438953472.00,1.63,84412.504,1689.046
16,256,256,256,10,0,33554432.00,5.48,6.120,9.797
16,256,256,256,10,1,33554432.00,5.79,5.798,3.829
16,256,256,256,10,2,33554432.00,5.65,5.939,3.608
16,256,256,256,10,3,33554432.00,5.82,5.765,3.272
16,256,256,256,10,4,33554432.00,5.71,5.876,3.259
16,256,256,256,10,5,33554432.00,5.63,5.958,3.220
16,256,256,256,10,6,33554432.00,5.80,5.781,3.107
16,256,256,256,10,7,33554432.00,5.83,5.760,3.098
16,256,256,256,10,8,33554432.00,5.81,5.779,3.027
16,256,256,256,10,9,33554432.00,5.82,5.768,3.003
16,1024,1024,1024,10,0,2147483648.00,6.00,358.104,28.321
16,1024,1024,1024,10,1,2147483648.00,5.94,361.423,20.805
16,1024,1024,1024,10,2,2147483648.00,6.00,358.019,20.680
16,1024,1024,1024,10,3,2147483648.00,6.00,358.117,18.173
16,1024,1024,1024,10,4,2147483648.00,5.98,358.990,16.765
16,1024,1024,1024,10,5,2147483648.00,6.00,358.118,17.255
16,1024,1024,1024,10,6,2147483648.00,6.00,358.117,16.894
16,1024,1024,1024,10,7,2147483648.00,5.96,360.085,16.058
16,1024,1024,1024,10,8,2147483648.00,5.99,358.808,16.026
16,1024,1024,1024,10,9,2147483648.00,5.99,358.597,16.282
16,4096,4096,4096,10,0,137438953472.00,6.01,22879.980,275.576
16,4096,4096,4096,10,1,137438953472.00,6.01,22862.457,248.515
16,4096,4096,4096,10,2,137438953472.00,6.01,22871.571,254.135
16,4096,4096,4096,10,3,137438953472.00,5.92,23223.992,251.620
16,4096,4096,4096,10,4,137438953472.00,6.00,22887.662,246.949
16,4096,4096,4096,10,5,137438953472.00,6.01,22872.983,248.015
16,4096,4096,4096,10,6,137438953472.00,6.01,22861.968,250.363
16,4096,4096,4096,10,7,137438953472.00,6.02,22849.125,249.702
16,4096,4096,4096,10,8,137438953472.00,6.01,22852.683,247.381
16,4096,4096,4096,10,9,137438953472.00,6.02,22844.458,246.608
16,16384,16384,16384,10,0,8796093022208.00,5.99,1467814.476,11400.587
16,16384,16384,16384,10,1,8796093022208.00,5.99,1467734.011,11459.148
16,16384,16384,16384,10,2,8796093022208.00,5.99,1467485.390,11596.418
16,16384,16384,16384,10,3,8796093022208.00,5.99,1467853.212,11409.822
16,16384,16384,16384,10,4,8796093022208.00,6.00,1467047.368,11369.893
16,16384,16384,16384,10,5,8796093022208.00,5.99,1467314.207,11371.002
16,16384,16384,16384,10,6,8796093022208.00,5.99,1469029.803,11411.252
16,16384,16384,16384,10,7,8796093022208.00,5.99,1467238.970,11407.133
16,16384,16384,16384,10,8,8796093022208.00,5.99,1467503.482,11423.574
16,16384,16384,16384,10,9,8796093022208.00,6.00,1467169.560,11285.025
64,256,256,256,10,0,33554432.00,2.88,11.639,75.973
64,256,256,256,10,1,33554432.00,2.90,11.569,247.490
64,256,256,256,10,2,33554432.00,2.90,11.553,245.834
64,256,256,256,10,3,33554432.00,2.86,11.736,246.994
64,256,256,256,10,4,33554432.00,2.90,11.557,246.599
64,256,256,256,10,5,33554432.00,2.90,11.566,98.465
64,256,256,256,10,6,33554432.00,2.90,11.569,98.444
64,256,256,256,10,7,33554432.00,2.90,11.570,98.712
64,256,256,256,10,8,33554432.00,2.86,11.719,99.173
64,256,256,256,10,9,33554432.00,2.90,11.569,246.060
64,1024,1024,1024,10,0,2147483648.00,21.28,100.903,579.009
64,1024,1024,1024,10,1,2147483648.00,21.26,101.027,864.889
64,1024,1024,1024,10,2,2147483648.00,21.21,101.257,861.539
64,1024,1024,1024,10,3,2147483648.00,21.29,100.888,843.397
64,1024,1024,1024,10,4,2147483648.00,21.29,100.890,844.950
64,1024,1024,1024,10,5,2147483648.00,21.15,101.533,848.094
64,1024,1024,1024,10,6,2147483648.00,21.32,100.742,823.324
64,1024,1024,1024,10,7,2147483648.00,21.22,101.213,838.279
64,1024,1024,1024,10,8,2147483648.00,21.42,100.238,882.276
64,1024,1024,1024,10,9,2147483648.00,21.29,100.867,840.424
64,4096,4096,4096,10,0,137438953472.00,23.98,5732.252,1140.008
64,4096,4096,4096,10,1,137438953472.00,23.98,5730.393,1984.325
64,4096,4096,4096,10,2,137438953472.00,23.93,5743.267,1937.152
64,4096,4096,4096,10,3,137438953472.00,23.93,5744.274,1937.833
64,4096,4096,4096,10,4,137438953472.00,23.84,5765.805,1945.289
64,4096,4096,4096,10,5,137438953472.00,23.81,5772.792,2023.141
64,4096,4096,4096,10,6,137438953472.00,23.81,5771.553,1926.501
64,4096,4096,4096,10,7,137438953472.00,23.75,5786.391,1971.012
64,4096,4096,4096,10,8,137438953472.00,23.70,5799.071,2044.529
64,4096,4096,4096,10,9,137438953472.00,23.74,5790.174,1941.875
64,16384,16384,16384,10,0,8796093022208.00,22.65,388396.845,19205.812
64,16384,16384,16384,10,1,8796093022208.00,22.59,389369.878,23475.965
64,16384,16384,16384,10,2,8796093022208.00,22.60,389254.763,23651.570
64,16384,16384,16384,10,3,8796093022208.00,22.58,389627.007,23782.315
64,16384,16384,16384,10,4,8796093022208.00,22.62,388934.576,24708.924
64,16384,16384,16384,10,5,8796093022208.00,22.57,389706.047,23955.091
64,16384,16384,16384,10,6,8796093022208.00,22.62,388817.974,23006.486
64,16384,16384,16384,10,7,8796093022208.00,22.64,388534.134,24400.900
64,16384,16384,16384,10,8,8796093022208.00,22.60,389180.137,24456.815
64,16384,16384,16384,10,9,8796093022208.00,22.61,388952.165,24002.731
256,256,256,256,10,0,33554432.00,1.05,31.984,1334.788
256,256,256,256,10,1,33554432.00,1.04,32.259,2154.732
256,256,256,256,10,2,33554432.00,1.03,32.610,1994.146
256,256,256,256,10,3,33554432.00,1.05,31.884,1983.645
256,256,256,256,10,4,33554432.00,1.05,31.948,1990.954
256,256,256,256,10,5,33554432.00,1.04,32.193,2006.986
256,256,256,256,10,6,33554432.00,1.05,31.817,2475.744
256,256,256,256,10,7,33554432.00,1.05,32.059,2617.512
256,256,256,256,10,8,33554432.00,1.06,31.689,2146.505
256,256,256,256,10,9,33554432.00,1.06,31.658,1987.360
256,1024,1024,1024,10,0,2147483648.00,37.95,56.587,2967.747
256,1024,1024,1024,10,1,2147483648.00,39.03,55.028,2934.174
256,1024,1024,1024,10,2,2147483648.00,39.09,54.932,2944.911
256,1024,1024,1024,10,3,2147483648.00,39.07,54.961,3033.527
256,1024,1024,1024,10,4,2147483648.00,38.15,56.293,2757.600
256,1024,1024,1024,10,5,2147483648.00,38.62,55.605,3128.824
256,1024,1024,1024,10,6,2147483648.00,39.09,54.940,3098.176
256,1024,1024,1024,10,7,2147483648.00,39.14,54.867,3052.837
256,1024,1024,1024,10,8,2147483648.00,38.11,56.354,3019.925
256,1024,1024,1024,10,9,2147483648.00,38.74,55.429,2673.004
256,4096,4096,4096,10,0,137438953472.00,93.10,1476.322,3882.695
256,4096,4096,4096,10,1,137438953472.00,92.77,1481.564,6168.180
256,4096,4096,4096,10,2,137438953472.00,93.57,1468.873,5846.414
256,4096,4096,4096,10,3,137438953472.00,92.51,1485.702,5806.100
256,4096,4096,4096,10,4,137438953472.00,92.57,1484.643,5591.045
256,4096,4096,4096,10,5,137438953472.00,92.44,1486.721,5719.976
256,4096,4096,4096,10,6,137438953472.00,92.83,1480.579,6025.783
256,4096,4096,4096,10,7,137438953472.00,92.39,1487.565,6645.811
256,4096,4096,4096,10,8,137438953472.00,92.38,1487.747,5943.777
256,4096,4096,4096,10,9,137438953472.00,92.58,1484.606,6144.746
256,16384,16384,16384,10,0,8796093022208.00,92.13,95477.840,15049.616
256,16384,16384,16384,10,1,8796093022208.00,89.95,97789.489,26098.898
256,16384,16384,16384,10,2,8796093022208.00,88.97,98867.889,27549.132
256,16384,16384,16384,10,3,8796093022208.00,88.40,99503.798,27650.320
256,16384,16384,16384,10,4,8796093022208.00,87.81,100168.995,28393.980
256,16384,16384,16384,10,5,8796093022208.00,87.01,101098.061,30098.740
256,16384,16384,16384,10,6,8796093022208.00,88.58,99300.409,27146.281
256,16384,16384,16384,10,7,8796093022208.00,88.44,99459.329,29092.024
256,16384,16384,16384,10,8,8796093022208.00,88.43,99465.858,28129.616
256,16384,16384,16384,10,9,8796093022208.00,87.87,100098.544,29308.973
